Run,Success,Crashed,RMSE_Alt,RMSE_Vx,RMSE_Phi,RMSE_Theta
1,1,0,0.0284147037649951,0.00504608531755187,3.86686493737119e-07,0.00383122287366981
2,1,0,0.0285926071187246,0.00374396472777942,3.550908983251e-11,0.00384539759140932
3,1,0,0.0285295522087055,0.00470861921647893,3.29176235722542e-07,0.00383527257569356
4,1,0,0.0286569080702745,0.0035875193627272,6.49031686086748e-09,0.00384736370957107
5,1,0,0.0289822551479094,0.00163880814582223,2.50384188775991e-09,0.0038694087616055
6,1,0,0.0290325367217532,0.00123819611101784,8.01919680983471e-09,0.00387394674129896
7,1,0,0.0284998707910001,0.0052832220757076,3.83579405474977e-06,0.00382934911065322
8,1,0,0.0282334751209635,0.00565686475934042,3.99933788574112e-08,0.00382407842358772
9,1,0,0.0286121387501934,0.00310685419514213,4.17496536988336e-10,0.00385202294996925
10,1,0,0.0284753521316466,0.00418891128329635,1.62321313513315e-10,0.00384020158041131
11,1,0,0.0289222157827637,0.00185367507399494,1.48178337004721e-08,0.00386680632370246
12,1,0,0.0290239657901802,0.0013105687530826,1.01310080897782e-08,0.00387312525397126
13,1,0,0.0288455906419429,0.00223564836658543,1.90212383208579e-08,0.00386237589580341
14,1,0,0.0288017270636463,0.00292330327708192,1.04003898938822e-10,0.00385500568635418
15,1,0,0.028692031748076,0.00323940742885514,3.71703231416436e-08,0.00385112631895039
16,1,0,0.028974079269554,0.00166637552168812,2.4657471498957e-09,0.00386907131981925
17,1,0,0.0301223823824426,0.000511197834561447,2.97779521349184e-10,0.00388779083170605
18,1,0,0.0286483189325205,0.00391795002324993,3.0958991249631e-07,0.00384395072624584
19,1,0,0.0289032281376366,0.00251669288445784,4.52777975454212e-08,0.00385978788989751
20,1,0,0.0286336249474194,0.00351885361704628,7.74404015254619e-11,0.00384792989005539
21,1,0,0.0287307524444135,0.00283608029626026,7.68616130095459e-12,0.00385549553238983
22,1,0,0.028773871885445,0.00268826446419154,1.52865205516702e-09,0.00385726973248415
23,1,0,0.028888024918871,0.00232296944839532,1.41584741734236e-08,0.00386171120431488
24,1,0,0.0286096890506065,0.00383108072108439,1.86642013136964e-08,0.00384461004255755
25,1,0,0.0286733763455292,0.00321296065240912,1.20412998084583e-09,0.00385128963498917
26,1,0,0.0290342460594374,0.00131093873595268,8.38689904858795e-10,0.0038731796721682
27,1,0,0.0289359159757895,0.00148157785617874,1.08883592379434e-11,0.00387080610523965
28,1,0,0.0287431078445356,0.00325095020533978,1.67790431607218e-10,0.00385130234256757
29,1,0,0.0285435431962299,0.00393036100759254,3.26070414149915e-10,0.00384321822663855
30,1,0,0.0287027376745812,0.00280758132659197,5.25553574839837e-10,0.00385562750155975
31,1,0,0.0290582952292114,0.00112205078385868,1.07617236365165e-09,0.00387533891878021
32,1,0,0.0287378817146141,0.00383529306595895,1.22178060753475e-06,0.00384530757305592
33,1,0,0.0285999887722372,0.00330171781167327,4.75996290991901e-10,0.00384995497023161
34,1,0,0.0285558726586049,0.00414746658931626,1.45150944196983e-09,0.00384108790172461
35,1,0,0.0286502049726808,0.00320673853883749,8.94586240077325e-09,0.0038512192773015
36,1,0,0.0288445792834804,0.0021623031313352,2.57271720234557e-10,0.00386313416534137
37,1,0,0.0288851559753925,0.00219350385003638,1.33359819919665e-09,0.00386304203075743
38,1,0,0.0287231501553721,0.00328066061057529,1.17707447405939e-07,0.00385088341880879
39,1,0,0.028954969366573,0.00211208323667384,9.90809368257803e-09,0.00386429033935166
40,1,0,0.0288030382868963,0.00234295975295228,5.74114225538147e-10,0.00386101510205247
41,1,0,0.0287316223273385,0.00307696236260928,6.26061781548643e-12,0.00385302163284253
42,1,0,0.0286562929775837,0.00324711361896459,1.1087885284877e-09,0.00385084066617598
43,1,0,0.0285386834600638,0.00376596146959855,2.55365912815051e-11,0.00384486099108551
44,1,0,0.0288694538934739,0.00200391282832427,7.96849563043936e-10,0.0038649305132529
45,1,0,0.0286072848581827,0.00389198751637275,1.29387117752512e-09,0.00384397679632985
46,1,0,0.0286008452370597,0.00391583800913841,2.13141514609861e-09,0.00384369730649026
47,1,0,0.028697780085489,0.00318105155546808,1.41382363377162e-07,0.00385175827081358
48,1,0,0.0289582203503191,0.00169781143481212,5.73463750777882e-11,0.00386864995353848
49,1,0,0.0285938585153141,0.00380431172586946,3.02320698534468e-09,0.0038447907568356
50,1,0,0.0285475394587237,0.00425182301010304,3.85346083565083e-09,0.00383998338555621
51,1,0,0.0285071359078746,0.00427072154249267,7.86439768318093e-11,0.00383955855349862
52,1,0,0.028561406702937,0.00369050272863294,1.68312060801582e-08,0.00384576124818533
53,1,0,0.0283661889951192,0.00517524719467527,1.50332387715568e-07,0.0038296489012948
54,1,0,0.0285528891431181,0.00397035486883046,5.98884116258549e-10,0.00384286630956799
55,1,0,0.0285191293521355,0.00407557054775372,1.73352340056696e-10,0.00384160346357474
56,1,0,0.028897248027615,0.00266515864589864,2.62935486683986e-07,0.00385821757532982
57,1,0,0.0288880298587268,0.00231303910781003,5.01981541161097e-08,0.00386181476502116
58,1,0,0.0289262905372011,0.00241920671295514,2.50569664734599e-07,0.00386093130962238
59,1,0,0.0288604074680978,0.00214968880488575,5.80984263351878e-10,0.00386335653236945
60,1,0,0.0287067787930803,0.00317906427997827,2.42556569123259e-09,0.00385183023558268
61,1,0,0.0287882999348171,0.00293480142360145,1.0160419641516e-08,0.00385481021391529
62,1,0,0.0289020022460992,0.0020844491215211,3.34070268971101e-10,0.00386427576001356
63,1,0,0.0287885322074374,0.00248971673479449,1.12972723998862e-09,0.00385940876060674
64,1,0,0.0281672082869329,0.00701160075676498,5.58441625886107e-05,0.00381039580960804
65,1,0,0.0288411743429895,0.00230922114921544,7.20915162711432e-10,0.00386158526522271
66,1,0,0.0287786411690414,0.00268863872757952,1.04889631282191e-08,0.00385729343454303
67,1,0,0.0288817868845765,0.00233026535668091,7.16742017246373e-09,0.00386159958548873
68,1,0,0.0280920211570025,0.00723905787850816,1.96582963442715e-05,0.00380771989247607
69,1,0,0.0286800662043899,0.00352718172465508,2.46226141805983e-07,0.00384811381885583
70,1,0,0.0289470671338244,0.00173197869623928,2.49398826471706e-11,0.00386822646057346
71,1,0,0.0285861088570332,0.00418118881618804,8.19970509606248e-10,0.00384092107222698
72,1,0,0.0288182741819882,0.00226912259788185,2.14997550837521e-10,0.00386187038473133
73,1,0,0.0284679248501658,0.00416141316745946,4.08473868469978e-10,0.00384043672017025
74,1,0,0.0288664151181967,0.00220865098531028,1.30768738456984e-10,0.00386277656228148
75,1,0,0.0288968463440307,0.00196984647448907,1.80525056728312e-11,0.00386544391976266
76,1,0,0.0288162091799017,0.00268172009342855,1.85018011429988e-10,0.00385758096667218
77,1,0,0.0286498907428343,0.00332105288407864,3.30280560282922e-10,0.00385004633515272
78,1,0,0.0288258002336551,0.00278583933067447,1.86562568442394e-07,0.00385656142212809
79,1,0,0.0290244325582778,0.00139331554575126,1.24754251747567e-09,0.00387224701186753
80,1,0,0.0281961301302341,0.00537855745315382,1.14876166381649e-10,0.00382662913106842
81,1,0,0.0290625061876528,0.00100599363593923,6.58979305337046e-11,0.00387661728561589
82,1,0,0.0285406453415105,0.00432143748702034,1.36076843323725e-08,0.00383923983513372
83,1,0,0.0287314962975169,0.00331477817547046,1.30552356964136e-10,0.0038505814881546
84,1,0,0.0289286211534147,0.0019094036335976,2.18270678273472e-09,0.00386625872622743
85,1,0,0.028867285827212,0.00216427133228337,4.78010779856856e-11,0.00386324394068438
86,1,0,0.028634342674143,0.00344758755444371,4.3598561529455e-08,0.00384866227429596
87,1,0,0.0287026598171564,0.0034526702199952,2.30238512444058e-07,0.00384900550304832
