Run,Success,Crashed,START_X,START_Y,START_Z,START_Vx,START_Vy,START_Vz,START_Phi,START_Theta,START_Psi,START_p,START_q,START_r,RMSE_X,RMSE_Y,RMSE_Z,RMSE_Vx,RMSE_Vy,RMSE_Vz,RMSE_Phi,RMSE_Theta,RMSE_Psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,-7.0752226750038,-0.16678159023818,-98.6944111823022,28.6609617403585,0.33839342138161,0.337197828796923,0.118402954836046,-0.0545554527960648,0.0661905237801623,-0.0786409838222011,-0.0407831329487871,0.0419565151885509,0,0.0354011099016867,0.0312669974397033,0.00574482019670336,0.00841617476976461,0.0314432416304994,4.30249896011913e-07,0.00113822927879411,5.56769036447555e-05,7.27372577776072e-07,9.08109252060092e-05,5.72145392666792e-05
2,1,0,-3.30369295573218,1.63779520022207,-92.4593646042722,18.7776372949715,-0.479642315251798,-0.24635965212736,0.0769788949417955,-0.0357381032326952,-0.170659503550784,-0.0549061938183156,-0.0129245668237599,-0.00771943302264433,0,0.00149309195605851,0.199533257427524,0.0414594676153351,0.000373432991434489,0.191615324815412,7.10384748585757e-08,0.00712516798280883,3.85248980601783e-06,1.12253229003482e-07,0.000569302787225361,6.56175667529557e-06
3,1,0,-2.67606411068462,-1.30986086527713,-105.477074593299,28.8446344287927,-1.08731028314819,0.0723073257280502,0.116768362519536,-0.148148636247127,-0.00996410550272834,0.0101852620501366,-0.0214542343382316,-0.000476237121931296,0,0.00371916887644741,0.125753329270118,0.0256974162811277,0.00101683840043338,0.120214810233643,2.78103108528596e-07,0.00443311726357419,2.3634255719923e-05,4.58522164216738e-07,0.000332292372894942,5.60184199143817e-05
4,1,0,2.06056748074298,-4.68574797680803,-95.8242148179628,32.6617692263675,0.160590366484437,0.0075564192720253,-0.203242289591448,0.086366003155495,-0.212205679922137,0.0555289757911527,0.018377446055179,0.00924391269353923,0,0.103033166700531,0.135279307690744,0.0318899272075537,0.0255834260649035,0.134257823516975,1.81596181329306e-06,0.00513746292364606,0.00019397080042214,2.57584413905421e-06,0.000470301072376814,0.000189250892687313
5,1,0,-1.96798945289706,-10.8815501916813,-105.978272160128,27.5572987470229,1.20622152858531,0.370123610289698,0.0540609432736047,-0.0945946084893674,0.0213424418303932,0.0335898853614634,-0.00886539446645541,0.0660347413139458,0,0.0317037924490673,0.0902753959842324,0.0185992467766133,0.00784289300819422,0.0867983407534962,1.55634034819369e-07,0.00322346191681894,5.76258782963007e-05,2.5546836893289e-07,0.000252419944907605,2.99237364941571e-05
6,1,0,-6.10127068613817,-1.88118571994337,-99.7378542561139,18,0.282710285580099,0.038897231200139,0.0140850143434903,0.138702678659954,0.182158083081916,0.0280015266340647,-0.0163650575599056,-0.00162638067664151,0,0.00639040882848178,0.184227507872942,0.037482761743014,0.00157797906426502,0.178195766765314,6.39670824608616e-08,0.0065856032682134,1.13956246606906e-05,7.79922088182027e-08,0.000506306592647881,5.2266172611783e-06
7,1,0,1.76726517391213,-6.28400281592145,-105.180157189398,22.0112611856553,0.0388343397160151,0.895465129480302,0.139148667176239,-0.0772309486990518,-0.109797108418985,0.0535395899789058,0.0954185597802747,0.00584472639723195,0,0.0239016206013095,0.0247118890196583,0.00519709691650129,0.00600251119045696,0.0255910416524363,1.65312992412866e-07,0.000968487432120922,4.64393270402156e-05,2.76787709730445e-07,8.6630281913179e-05,1.98187679721608e-05
8,1,0,-2.3943258280134,-7.06326941590902,-95.1250597246551,27.0280328895297,0.582704125546077,-0.454352808159441,0.0419882649776188,-0.114152620096963,0.222521545066964,-0.0192401819338225,-0.00305114509391845,-0.0121412195179341,0,0.0158402248439157,0.0245652914028413,0.00566904794981709,0.00373503057938576,0.0235933891563889,2.40843141593155e-07,0.000916014857791092,2.55135673950433e-05,5.29649180846945e-07,9.7267040176444e-05,2.51255601174748e-05
9,1,0,4.96981267077799,2.14218086511905,-105.02092640081,20.5711848633585,-0.522854995612469,0.252853504729376,0.0579368540262134,-0.28543333149254,-0.332806398921722,-0.00141018139157262,0.0243366382505443,0.00589232145624713,0,0.0403240730385692,0.107034003303929,0.0228869882022797,0.00990288953019608,0.106830441216112,2.08985248798558e-07,0.00404227206396981,6.90288994814947e-05,4.05079690052521e-07,0.000357078148193106,2.29175703344026e-05
10,1,0,-7.71898162865614,-7.75901197070852,-95.6646109819031,23.9823890670362,-0.193120831908506,0.658102056181401,-0.139009231284135,0.0236389788282172,0.0729209784314389,0.028619198584304,-0.0298225588823671,0.012472771684816,0,0.0311723764475644,0.0407277865290608,0.00849886705332968,0.00765198935466193,0.0394678452917837,1.03546088833478e-07,0.0014902254006406,5.29662079733611e-05,1.50348322205114e-07,0.000134296404539768,1.01199069961318e-05
