Run,OK,RMSE_Pn,RMSE_Pe,RMSE_Pd,RMSE_u,RMSE_v,RMSE_w,RMSE_phi,RMSE_theta,RMSE_psi,RMSE_p,RMSE_q,RMSE_r
1,1,0,4.65767970263764,0.0514357285307097,10.0217211925883,1.74382357950586e-09,0.131514399506223,2.53311813716902e-11,0.00379698057203888,5.55384250733743e-11,2.17383111054912e-11,9.96300424591242e-05,3.59023134681954e-09
2,1,0,7.30830688272437,0.0480418072182779,10.0440197780996,5.14247461868792e-08,0.12275297684866,1.48576297488097e-09,0.00354209922333709,1.72066036406126e-09,1.1676657455997e-09,9.40051948890747e-05,4.19922242206751e-09
3,1,0,0.452214460728573,0.0514849291881432,10.0213898672695,1.21841999287923e-09,0.131644405702873,9.88545599136287e-13,0.00380075651485727,3.48229820753847e-11,9.82156000154097e-12,9.97102784376667e-05,3.66359022414458e-09
4,1,0,8.67534277233967,0.0470230778259298,10.0507030946161,9.41596537326232e-08,0.120127365021486,1.96351954055424e-09,0.00346576416099417,3.2486880164763e-09,1.43592751808265e-09,9.22816273399548e-05,4.46453451839762e-09
5,1,0,0.779672742434548,0.0504005156649362,10.0285717863655,1.20932244138685e-09,0.128825725857189,5.77561225482365e-13,0.00371877702924966,3.45341287752881e-11,9.57688729065486e-12,9.79336142361857e-05,3.64124986134422e-09
6,1,0,1.77433320704053,0.0511242897327699,10.0237795956751,1.22842769850267e-09,0.130707178635743,8.18586099396383e-13,0.0037734945753335,3.50701601889418e-11,9.46183166727411e-12,9.91212288933055e-05,3.67773693082954e-09
7,1,0,1.23461858632485,0.0505924799283565,10.0273053494911,1.17012433258183e-09,0.129327036493607,7.47509600033001e-13,0.00373335171500257,3.34185303655528e-11,9.26905356564784e-12,9.82479209559161e-05,3.46630482580729e-09
8,1,0,3.21596486213058,0.0514154783593788,10.021860676801,1.23787334044059e-09,0.131461592436412,9.83907583355248e-12,0.00379544609796052,3.56980455934464e-11,1.37382607076133e-11,9.95964638743789e-05,3.61517348953799e-09
9,1,0,2.62257197000964,0.0511403255877664,10.0236695403602,1.27440347677793e-09,0.130748756985361,1.28302167329998e-11,0.00377470313889887,3.7111096132519e-11,1.44263403639499e-11,9.91479903387254e-05,3.55294397431581e-09
10,1,0,3.06773172239084,0.0514799499266049,10.0214269673691,1.140453960573e-09,0.131628307865816,5.1370589227248e-12,0.00380029579653374,3.26683932309275e-11,1.10858399255806e-11,9.97027575553302e-05,3.41605252083414e-09
11,1,0,0.429023818877446,0.0510022937629192,10.0245763774777,1.23429334736725e-09,0.130390414727917,8.12714096116327e-13,0.00376427763084501,3.52661707301576e-11,1.00827620854562e-11,9.89229940300817e-05,3.77107336982406e-09
12,1,0,4.11760865650906,0.0499032470237892,10.0317847003279,1.0050628372576e-08,0.127559704868996,1.96188395743993e-10,0.00368189197356794,3.48369921661472e-10,1.62203457544821e-10,9.71129249278439e-05,3.56355514215236e-09
13,1,0,0.158795958729089,0.0517002622417222,10.0199786193647,1.17597256692596e-09,0.132203522384095,2.77210642835085e-13,0.0038170271366716,3.35739208910128e-11,9.33236572085714e-12,0.000100058799823791,3.57593904810042e-09
14,1,0,1.76287616905311,0.0514985666541083,10.0212950063886,1.2181258128311e-09,0.131678759865043,3.69107813966213e-12,0.00380175695846986,3.50604779429684e-11,1.05222591986984e-11,9.97334898174129e-05,3.62191829048367e-09
15,1,0,0.328220015165525,0.0506731768761139,10.0267533447831,1.2207754529482e-09,0.129532183323697,8.3702813512292e-13,0.00373932223551594,3.48644899780638e-11,9.51484074977833e-12,9.83846493208611e-05,3.6806805828792e-09
16,1,0,0.635353654591072,0.0505734345840957,10.0274265875069,1.23117827620313e-09,0.129276930495374,5.04744677077372e-13,0.00373189458995075,3.51549820761348e-11,9.56533815929527e-12,9.82174533341613e-05,3.65658046087987e-09
17,1,0,0.94138947657527,0.0517366541544378,10.019731292596,1.13805872672913e-09,0.132298718046197,3.16612187501117e-13,0.00381979367798962,3.24939216768883e-11,9.22820002392995e-12,0.000100118592120826,3.43613701305873e-09
18,1,0,0.434611659532802,0.050705117402684,10.0265545806491,1.23339923600864e-09,0.1296188846748,2.96515329869707e-13,0.00374183959666281,3.522525405388e-11,9.76422903763762e-12,9.84340479667811e-05,3.71120250298767e-09
19,1,0,0.272210486580931,0.0507608326291029,10.0261805244518,1.18628193913311e-09,0.129762939303067,4.90923082311407e-13,0.00374602927910767,3.38699181349102e-11,9.17405097760478e-12,9.85264550672421e-05,3.53006755223721e-09
20,1,0,2.66740088178115,0.0511981282010056,10.0232920171057,1.20876729533684e-09,0.13089885629169,7.22727772988855e-12,0.00377907066465068,3.47051590280279e-11,1.21253969825061e-11,9.92418516460605e-05,3.55309335131421e-09
21,1,0,1.97074871477557,0.0515275318031317,10.0211066053055,1.21556515795656e-09,0.131754373778469,6.11696677415688e-12,0.00380395685360791,3.48860672025024e-11,1.26119662460253e-11,9.97800497217459e-05,3.5959029203106e-09
22,1,0,0.270952475656284,0.0515384678524369,10.0210383510312,1.2006104834135e-09,0.13178323798686,7.54541299559845e-13,0.00380479663986973,3.42803205365342e-11,9.24297758438399e-12,9.97972207344277e-05,3.57437473404758e-09
23,1,0,2.68011746713131,0.0513024034336101,10.0226074789787,1.24418740466583e-09,0.131169700850092,3.78227370279885e-12,0.00378695088894101,3.55951557129194e-11,1.0730992599601e-11,9.94113994381211e-05,3.6685087324251e-09
24,1,0,4.27536534254523,0.0511523357255917,10.0236043063378,1.52117923704614e-09,0.130782462894017,1.52533720923993e-11,0.00377568234653509,4.70979926828415e-11,2.10281938754798e-11,9.91647149956462e-05,3.75480792458779e-09
25,1,0,6.76325772437427,0.048190702460295,10.0430862885489,1.3724920789445e-08,0.123123659181284,2.74303040032826e-10,0.00355291580951883,4.92372106690913e-10,4.86932873987194e-10,9.42550320788126e-05,3.79177090376426e-09
