Run,Converged,RMSE_Z,RMSE_Y
1,1,1.69107299444887e-05,1.22395366352833
2,1,0.000473245842005782,37.2944604902788
3,1,8.62224510314456e-06,22.4893219964245
4,1,1.40469560049236e-05,3.71144969897514
5,1,1.4570523193479e-05,4.34715372444791
6,1,3.04667128942101e-05,20.3524909850448
7,1,0.00121526179136462,70.1195786639718
8,1,1.49322103513298e-05,6.32256440195801
9,1,4.4859037969059e-05,2.20336622032662
10,1,2.54274840740275e-05,26.2772027081149
11,1,1.39064921417565e-05,11.9245486164156
12,1,0.000763475051918361,56.9514362021123
13,1,9.80703590366098e-06,8.28460035725374
14,1,9.04175819793205e-05,20.803099820979
15,1,1.59000315868446e-05,2.36941622457787
16,1,2.18237507225219e-05,35.0359102327879
17,1,0.000372094860317082,24.2581809458225
18,1,6.07071717149421e-05,0.697376327260527
19,1,1.54251560846397e-05,5.80350246792547
20,1,1.5202446776493e-05,4.85730953937929
21,1,0.00588833072646688,67.8588587247033
22,1,1.35630826971186e-05,14.0700937261628
23,1,0.000384103452163319,36.5129459136109
24,1,1.40180369025098e-05,12.3182303678117
25,1,0.0027374818294078,77.8105278006762
26,1,2.36913730977335e-05,37.1663274016367
27,1,3.1956309987184e-05,20.6546137358418
28,1,0.000686695146471391,8.47786271206185
29,1,1.28499381462444e-05,34.1103564276109
30,1,1.45925039386553e-05,4.24807232379812
31,1,0.000495659225681014,36.7024311290406
32,1,1.57773177743549e-05,3.3469761541583
33,1,1.60195696307713e-05,3.50976560732013
34,1,1.09944550029543e-05,23.8639456946595
35,1,1.47434956553955e-05,8.07606985628648
36,1,0.00112233623210157,52.3011756168093
37,1,1.41358021822665e-05,11.6851996984842
38,1,4.57713586790459e-05,1.02408344393512
39,1,2.05228599290626e-05,0.348550213152537
40,1,1.11839738418504e-05,3.57021068045715
41,1,2.02223708582434e-05,2.33635538583088
42,1,1.06260406847328e-05,27.7972357077176
43,1,3.37160714647079e-05,4.80391813110631
44,1,0.160072984073685,156.102024771831
45,1,1.79307013630849e-05,1.24100003800466
46,1,1.64588779365391e-05,1.82038804762486
47,1,6.50042009094629e-05,21.7577419212244
48,1,3.36974566314331e-05,12.1482440476217
49,1,2.32126565396635e-05,9.87268132265275
50,1,0.0226595587182486,27.0257233424507
51,1,9.40614651274297e-06,31.5941258909451
52,1,1.51600658498793e-05,10.6249968415622
53,1,1.40097928994191e-05,0.719235855423051
54,1,0.000236288087041982,18.6482874443175
55,1,1.6187128118437e-05,5.37896846369346
56,1,2.96045126766412e-05,26.7582870788766
57,1,2.17827015434146e-05,12.5059416335313
58,1,1.60221039690504e-05,1.5965364291838
59,1,1.05659999181165e-05,30.334055176049
60,1,5.60268806767411e-05,46.4342540388308
61,1,2.17880923490285e-05,7.75461395223185
62,1,1.30572498038917e-05,1.93417863592554
63,1,1.03268962056158e-05,6.99505092006402
64,1,1.46994595598444e-05,2.60308462658288
65,1,4.08161119563048e-05,30.2949768046264
66,1,1.18239203149655e-05,17.3043573978818
67,1,0.000234874947218439,36.8446981996759
68,1,0.000379100076013673,1.45683691407997
69,1,2.14985147309559e-05,7.25150070804496
70,1,2.30492259697809e-05,3.66631157261504
71,1,1.13986549426616e-05,5.89036279348908
72,1,1.32009174166247e-05,14.3040691337892
73,1,1.54506168958945e-05,10.8997659823572
74,1,3.36771553071336e-05,5.03250785883066
75,1,9.19428946822554e-05,18.8787913205162
76,1,0.000352582752774694,9.23096226019806
77,1,3.53195641942629e-05,2.96459738147623
78,1,1.92005870364606e-05,4.23453058274674
79,1,3.18442544293712e-05,28.1479520589538
80,1,1.75419891782121e-05,4.86388448601777
81,1,5.2381577414534e-05,25.7305388755765
82,1,2.96949146846264e-05,31.6512284909658
83,1,0.000333285531197532,1.24312574255547
84,1,0.000611965987276715,35.3354855680992
85,1,1.18846807222617e-05,10.4494085189015
86,1,1.44694030504682e-05,7.11643891456846
87,1,0.000117378223208852,27.102179728683
88,1,1.35636111526283e-05,18.7857877476395
89,1,0.0955300415215722,163.493845484368
90,1,0.000285903308395525,47.1715588631978
91,1,1.33114933639051e-05,11.6512296795266
92,1,1.69993097113014e-05,3.40698232247124
93,1,1.69339064334428e-05,12.1252144915701
94,1,1.48442027866602e-05,15.7786731442825
95,1,1.35855172505195e-05,5.16634863101686
96,1,1.20382139798789e-05,1.97611093804415
97,1,1.81181581892633e-05,0.438324710035225
98,1,2.83263281323454e-05,8.63090165365604
99,1,1.66805245257674e-05,8.73635946004135
100,1,2.03434172155571e-05,6.66062217271528
