Run,Converged,RMSE_Z,RMSE_Y
1,1,2.80149333612581e-06,0.0227982193673336
2,1,2.80149334278214e-06,0.0227982193672194
3,1,2.80149332767368e-06,0.0227982193671841
4,1,2.80149332481736e-06,0.0227982193671821
5,1,2.80149332509536e-06,0.0227982193672091
6,1,2.80149332588089e-06,0.0227982193669636
7,1,2.80149332549104e-06,0.0227982193673236
8,1,2.8014933376948e-06,0.0227982193674217
9,1,2.80149332401519e-06,0.0227982193668513
10,1,2.80149332841699e-06,0.0227982193670013
11,1,2.8014933528691e-06,0.0227982193676925
12,1,2.80149334690588e-06,0.0227982193675907
13,1,0.301511687920902,0.272170212896799
14,1,2.80149334907341e-06,0.0227982193676513
15,1,2.80149332470312e-06,0.02279821936723
16,1,2.80149333750181e-06,0.0227982193673835
17,1,2.80149333808174e-06,0.0227982193673335
18,1,2.80149333864085e-06,0.0227982193673796
19,1,2.80149334069582e-06,0.0227982193672006
20,1,2.80149318352421e-06,0.0227982193650666
21,1,2.80149333343419e-06,0.0227982193673072
22,1,2.80149332970568e-06,0.0227982193672205
23,1,2.80149332554501e-06,0.0227982193672098
24,1,2.80149321311048e-06,0.0227982193653286
25,1,2.80149326891263e-06,0.0227982193662368
26,1,2.80149332453703e-06,0.0227982193671817
27,1,2.80149334008615e-06,0.0227982193672767
28,1,2.80149334815345e-06,0.0227982193676149
29,1,2.80148527488981e-06,0.0227982193684245
30,1,2.80149332585859e-06,0.0227982193671512
31,1,2.8014933244354e-06,0.0227982193669564
32,1,2.80149334391707e-06,0.0227982193672149
33,1,2.80149333329164e-06,0.0227982193671986
34,1,2.80149336181988e-06,0.0227982193678278
35,1,2.80149332622334e-06,0.0227982193670855
36,1,2.80149333521421e-06,0.0227982193672743
37,1,2.80149339261036e-06,0.0227982193684271
38,1,2.80149334281759e-06,0.0227982193672696
39,1,2.80149332473662e-06,0.0227982193672993
40,1,2.80149335392976e-06,0.0227982193677497
41,1,2.80149334288501e-06,0.0227982193674375
42,1,2.8014933425007e-06,0.0227982193674725
43,1,2.80149332925569e-06,0.0227982193672444
44,1,2.80149334000427e-06,0.0227982193672488
45,1,2.80149333680547e-06,0.0227982193672423
46,1,2.80149333797021e-06,0.0227982193673135
47,1,2.80149336065569e-06,0.022798219367957
48,1,2.80149334185644e-06,0.0227982193671912
49,1,2.80149331194136e-06,0.0227982193667065
50,1,2.80149334099146e-06,0.0227982193674666
51,1,0.402588522799033,0.142617968024899
52,1,2.80149328725196e-06,0.0227982193664814
53,1,2.80149333793381e-06,0.022798219367366
54,1,2.80149352319665e-06,0.0227982193709647
55,1,2.80149336040595e-06,0.0227982193679335
56,1,2.80149339205895e-06,0.0227982193683687
57,1,2.80149332498255e-06,0.0227982193670705
58,1,2.8014933369179e-06,0.0227982193672484
59,1,2.80149333027821e-06,0.0227982193672194
60,1,2.8014933911907e-06,0.022798219368381
61,1,2.80149332920046e-06,0.0227982193671043
62,1,2.80149332479329e-06,0.0227982193671625
63,1,2.80149333611407e-06,0.0227982193673647
64,1,2.80149339103801e-06,0.0227982193681822
65,1,2.80149334311863e-06,0.0227982193674846
66,1,2.80149329712309e-06,0.0227982193666002
67,1,2.80149332492819e-06,0.0227982193672262
68,1,2.80149332641201e-06,0.0227982193671345
69,1,2.80149334491474e-06,0.0227982193674307
70,1,2.80149334285103e-06,0.0227982193672785
71,1,2.8014933829941e-06,0.0227982193682929
72,1,2.80149335401865e-06,0.0227982193676815
73,1,2.80149343422092e-06,0.0227982193691008
74,1,2.80149332429407e-06,0.0227982193672103
75,1,2.80149333832692e-06,0.0227982193672101
76,1,2.80149334084868e-06,0.0227982193674385
77,1,2.80149332432602e-06,0.0227982193671907
78,1,2.80149265768313e-06,0.0227982193774609
79,1,2.80149332500115e-06,0.0227982193672242
80,1,2.80149333790512e-06,0.0227982193673898
81,1,2.80149335133633e-06,0.0227982193677746
82,1,2.80149332454573e-06,0.022798219367176
83,1,2.80149332933333e-06,0.022798219367109
84,1,2.80149332526081e-06,0.0227982193671202
85,1,2.80149332588934e-06,0.0227982193671774
86,1,2.80149332539876e-06,0.0227982193671114
87,1,2.80148944165704e-06,0.0227982193751808
88,1,2.80149333596665e-06,0.0227982193673451
89,1,2.80149327990493e-06,0.0227982193663676
90,1,2.80149332445865e-06,0.0227982193669534
91,1,2.8014931924581e-06,0.0227982193652178
92,1,2.80149332431451e-06,0.0227982193670176
93,1,2.80149332683535e-06,0.0227982193670786
94,1,2.80149335167876e-06,0.02279821936768
95,1,2.80149332194009e-06,0.0227982193668648
96,1,2.80149332655336e-06,0.0227982193672245
97,1,2.80149333753543e-06,0.0227982193673917
98,1,2.80149324158243e-06,0.0227982193658312
99,1,2.80149332623639e-06,0.0227982193671841
100,1,2.80149332599336e-06,0.0227982193670394
